# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2018-06-21 10:28:26 EDT       (vaww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08263500 RIO GRANDE NEAR CERRO, NM",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08263500,,,,
#            TS   parameter     statistic     Description,,,,
"#         99683       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     <  Actual value is known to be less than reported value.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency,guage_no,date,discharge,discharge_code
USGS,8263500,3/30/1949,241,A
USGS,8263500,3/31/1949,220,A
USGS,8263500,4/1/1949,234,A
USGS,8263500,4/2/1949,227,A
USGS,8263500,4/3/1949,234,A
USGS,8263500,4/4/1949,234,A
USGS,8263500,4/5/1949,241,A
USGS,8263500,4/6/1949,248,A
USGS,8263500,4/7/1949,248,A
USGS,8263500,4/8/1949,241,A
USGS,8263500,4/9/1949,227,A
USGS,8263500,4/10/1949,227,A
USGS,8263500,4/11/1949,234,A
USGS,8263500,4/12/1949,255,A
USGS,8263500,4/13/1949,262,A
USGS,8263500,4/14/1949,262,A
USGS,8263500,4/15/1949,241,A
USGS,8263500,4/16/1949,220,A
USGS,8263500,4/17/1949,220,A
USGS,8263500,4/18/1949,248,A
USGS,8263500,4/19/1949,255,A
USGS,8263500,4/20/1949,285,A
USGS,8263500,4/21/1949,332,A
USGS,8263500,4/22/1949,316,A
USGS,8263500,4/23/1949,316,A
USGS,8263500,4/24/1949,316,A
USGS,8263500,4/25/1949,470,A
USGS,8263500,4/26/1949,780,A
USGS,8263500,4/27/1949,952,A
USGS,8263500,4/28/1949,1030,A
USGS,8263500,4/29/1949,900,A
USGS,8263500,4/30/1949,830,A
USGS,8263500,5/1/1949,900,A
USGS,8263500,5/2/1949,970,A
USGS,8263500,5/3/1949,935,A
USGS,8263500,5/4/1949,990,A
USGS,8263500,5/5/1949,1250,A
USGS,8263500,5/6/1949,1250,A
USGS,8263500,5/7/1949,1170,A
USGS,8263500,5/8/1949,1070,A
USGS,8263500,5/9/1949,952,A
USGS,8263500,5/10/1949,970,A
USGS,8263500,5/11/1949,990,A
USGS,8263500,5/12/1949,1290,A
USGS,8263500,5/13/1949,1690,A
USGS,8263500,5/14/1949,1790,A
USGS,8263500,5/15/1949,1740,A
USGS,8263500,5/16/1949,1970,A
USGS,8263500,5/17/1949,2330,A
USGS,8263500,5/18/1949,2540,A
USGS,8263500,5/19/1949,2210,A
USGS,8263500,5/20/1949,1850,A
USGS,8263500,5/21/1949,1640,A
USGS,8263500,5/22/1949,1340,A
USGS,8263500,5/23/1949,1250,A
USGS,8263500,5/24/1949,1210,A
USGS,8263500,5/25/1949,1170,A
USGS,8263500,5/26/1949,1210,A
USGS,8263500,5/27/1949,1340,A
USGS,8263500,5/28/1949,1540,A
USGS,8263500,5/29/1949,1740,A
USGS,8263500,5/30/1949,1590,A
USGS,8263500,5/31/1949,1690,A
USGS,8263500,6/1/1949,2030,A
USGS,8263500,6/2/1949,2030,A
USGS,8263500,6/3/1949,1490,A
USGS,8263500,6/4/1949,1130,A
USGS,8263500,6/5/1949,1050,A
USGS,8263500,6/6/1949,1130,A
USGS,8263500,6/7/1949,1490,A
USGS,8263500,6/8/1949,1790,A
USGS,8263500,6/9/1949,1970,A
USGS,8263500,6/10/1949,2150,A
USGS,8263500,6/11/1949,2330,A
USGS,8263500,6/12/1949,2750,A
USGS,8263500,6/13/1949,3050,A
USGS,8263500,6/14/1949,3530,A
USGS,8263500,6/15/1949,3980,A
USGS,8263500,6/16/1949,4250,A
USGS,8263500,6/17/1949,4840,A
USGS,8263500,6/18/1949,5690,A
USGS,8263500,6/19/1949,6500,A
USGS,8263500,6/20/1949,7370,A
USGS,8263500,6/21/1949,8160,A
USGS,8263500,6/22/1949,9440,A
USGS,8263500,6/23/1949,8720,A
USGS,8263500,6/24/1949,7890,A
USGS,8263500,6/25/1949,7500,A
USGS,8263500,6/26/1949,7110,A
USGS,8263500,6/27/1949,6740,A
USGS,8263500,6/28/1949,5910,A
USGS,8263500,6/29/1949,5250,A
USGS,8263500,6/30/1949,4740,A
USGS,8263500,7/1/1949,4250,A
USGS,8263500,7/2/1949,3800,A
USGS,8263500,7/3/1949,3290,A
USGS,8263500,7/4/1949,2970,A
USGS,8263500,7/5/1949,2750,A
USGS,8263500,7/6/1949,2610,A
USGS,8263500,7/7/1949,2330,A
USGS,8263500,7/8/1949,2030,A
USGS,8263500,7/9/1949,1820,A
USGS,8263500,7/10/1949,1670,A
USGS,8263500,7/11/1949,1570,A
USGS,8263500,7/12/1949,1620,A
USGS,8263500,7/13/1949,2030,A
USGS,8263500,7/14/1949,2090,A
USGS,8263500,7/15/1949,1770,A
USGS,8263500,7/16/1949,1620,A
USGS,8263500,7/17/1949,1440,A
USGS,8263500,7/18/1949,1200,A
USGS,8263500,7/19/1949,1000,A
USGS,8263500,7/20/1949,820,A
USGS,8263500,7/21/1949,720,A
USGS,8263500,7/22/1949,595,A
USGS,8263500,7/23/1949,520,A
USGS,8263500,7/24/1949,480,A
USGS,8263500,7/25/1949,460,A
USGS,8263500,7/26/1949,490,A
USGS,8263500,7/27/1949,460,A
USGS,8263500,7/28/1949,480,A
USGS,8263500,7/29/1949,480,A
USGS,8263500,7/30/1949,470,A
USGS,8263500,7/31/1949,380,A
USGS,8263500,8/1/1949,323,A
USGS,8263500,8/2/1949,305,A
USGS,8263500,8/3/1949,296,A
USGS,8263500,8/4/1949,296,A
USGS,8263500,8/5/1949,278,A
USGS,8263500,8/6/1949,278,A
USGS,8263500,8/7/1949,314,A
USGS,8263500,8/8/1949,323,A
USGS,8263500,8/9/1949,332,A
USGS,8263500,8/10/1949,350,A
USGS,8263500,8/11/1949,332,A
USGS,8263500,8/12/1949,287,A
USGS,8263500,8/13/1949,270,A
USGS,8263500,8/14/1949,253,A
USGS,8263500,8/15/1949,237,A
USGS,8263500,8/16/1949,221,A
USGS,8263500,8/17/1949,214,A
USGS,8263500,8/18/1949,214,A
USGS,8263500,8/19/1949,203,A
USGS,8263500,8/20/1949,192,A
USGS,8263500,8/21/1949,184,A
USGS,8263500,8/22/1949,177,A
USGS,8263500,8/23/1949,170,A
USGS,8263500,8/24/1949,164,A
USGS,8263500,8/25/1949,159,A
USGS,8263500,8/26/1949,156,A
USGS,8263500,8/27/1949,151,A
USGS,8263500,8/28/1949,151,A
USGS,8263500,8/29/1949,147,A
USGS,8263500,8/30/1949,147,A
USGS,8263500,8/31/1949,146,A
USGS,8263500,9/1/1949,149,A
USGS,8263500,9/2/1949,147,A
USGS,8263500,9/3/1949,155,A
USGS,8263500,9/4/1949,162,A
USGS,8263500,9/5/1949,155,A
USGS,8263500,9/6/1949,154,A
USGS,8263500,9/7/1949,163,A
USGS,8263500,9/8/1949,167,A
USGS,8263500,9/9/1949,164,A
USGS,8263500,9/10/1949,163,A
USGS,8263500,9/11/1949,163,A
USGS,8263500,9/12/1949,160,A
USGS,8263500,9/13/1949,158,A
USGS,8263500,9/14/1949,159,A
USGS,8263500,9/15/1949,167,A
USGS,8263500,9/16/1949,167,A
USGS,8263500,9/17/1949,158,A
USGS,8263500,9/18/1949,156,A
USGS,8263500,9/19/1949,163,A
USGS,8263500,9/20/1949,162,A
USGS,8263500,9/21/1949,158,A
USGS,8263500,9/22/1949,153,A
USGS,8263500,9/23/1949,153,A
USGS,8263500,9/24/1949,141,A
USGS,8263500,9/25/1949,141,A
USGS,8263500,9/26/1949,147,A
USGS,8263500,9/27/1949,151,A
USGS,8263500,9/28/1949,154,A
USGS,8263500,9/29/1949,158,A
USGS,8263500,9/30/1949,160,A
USGS,8263500,10/1/1949,145,A
USGS,8263500,10/2/1949,144,A
USGS,8263500,10/3/1949,146,A
USGS,8263500,10/4/1949,141,A
USGS,8263500,10/5/1949,144,A
USGS,8263500,10/6/1949,145,A
USGS,8263500,10/7/1949,145,A
USGS,8263500,10/8/1949,141,A
USGS,8263500,10/9/1949,139,A
USGS,8263500,10/10/1949,144,A
USGS,8263500,10/11/1949,149,A
USGS,8263500,10/12/1949,144,A
USGS,8263500,10/13/1949,146,A
USGS,8263500,10/14/1949,170,A
USGS,8263500,10/15/1949,180,A
USGS,8263500,10/16/1949,180,A
USGS,8263500,10/17/1949,180,A
USGS,8263500,10/18/1949,190,A
USGS,8263500,10/19/1949,195,A
USGS,8263500,10/20/1949,195,A
USGS,8263500,10/21/1949,195,A
USGS,8263500,10/22/1949,200,A
USGS,8263500,10/23/1949,200,A
USGS,8263500,10/24/1949,195,A
USGS,8263500,10/25/1949,190,A
USGS,8263500,10/26/1949,195,A
USGS,8263500,10/27/1949,202,A
USGS,8263500,10/28/1949,204,A
USGS,8263500,10/29/1949,205,A
USGS,8263500,10/30/1949,208,A
USGS,8263500,10/31/1949,198,A
USGS,8263500,11/1/1949,192,A
USGS,8263500,11/2/1949,198,A
USGS,8263500,11/3/1949,200,A
USGS,8263500,11/4/1949,192,A
USGS,8263500,11/5/1949,194,A
USGS,8263500,11/6/1949,199,A
USGS,8263500,11/7/1949,198,A
USGS,8263500,11/8/1949,205,A
USGS,8263500,11/9/1949,210,A
USGS,8263500,11/10/1949,230,A
USGS,8263500,11/11/1949,261,A
USGS,8263500,11/12/1949,274,A
USGS,8263500,11/13/1949,274,A
USGS,8263500,11/14/1949,301,A
USGS,8263500,11/15/1949,340,A
USGS,8263500,11/16/1949,390,A
USGS,8263500,11/17/1949,400,A
USGS,8263500,11/18/1949,400,A
USGS,8263500,11/19/1949,390,A
USGS,8263500,11/20/1949,390,A
USGS,8263500,11/21/1949,400,A
USGS,8263500,11/22/1949,400,A
USGS,8263500,11/23/1949,410,A
USGS,8263500,11/24/1949,410,A
USGS,8263500,11/25/1949,400,A
USGS,8263500,11/26/1949,420,A
USGS,8263500,11/27/1949,450,A
USGS,8263500,11/28/1949,460,A
USGS,8263500,11/29/1949,460,A
USGS,8263500,11/30/1949,450,A
USGS,8263500,12/1/1949,450,A
USGS,8263500,12/2/1949,450,A
USGS,8263500,12/3/1949,440,A
USGS,8263500,12/4/1949,400,A
USGS,8263500,12/5/1949,370,A
USGS,8263500,12/6/1949,340,A
USGS,8263500,12/7/1949,410,A
USGS,8263500,12/8/1949,390,A
USGS,8263500,12/9/1949,460,A
USGS,8263500,12/10/1949,485,A
USGS,8263500,12/11/1949,430,A
USGS,8263500,12/12/1949,249,A
USGS,8263500,12/13/1949,194,A
USGS,8263500,12/14/1949,283,A
USGS,8263500,12/15/1949,350,A
USGS,8263500,12/16/1949,370,A
USGS,8263500,12/17/1949,330,A
USGS,8263500,12/18/1949,350,A
USGS,8263500,12/19/1949,370,A
USGS,8263500,12/20/1949,410,A
USGS,8263500,12/21/1949,420,A
USGS,8263500,12/22/1949,410,A
USGS,8263500,12/23/1949,400,A
USGS,8263500,12/24/1949,360,A
USGS,8263500,12/25/1949,370,A
USGS,8263500,12/26/1949,370,A
USGS,8263500,12/27/1949,370,A
USGS,8263500,12/28/1949,370,A
USGS,8263500,12/29/1949,360,A
USGS,8263500,12/30/1949,370,A
USGS,8263500,12/31/1949,380,A
USGS,8263500,1/1/1950,380,A
USGS,8263500,1/2/1950,410,A
USGS,8263500,1/3/1950,400,A
USGS,8263500,1/4/1950,380,A
USGS,8263500,1/5/1950,370,A
USGS,8263500,1/6/1950,350,A
USGS,8263500,1/7/1950,340,A
USGS,8263500,1/8/1950,330,A
USGS,8263500,1/9/1950,330,A
USGS,8263500,1/10/1950,330,A
USGS,8263500,1/11/1950,340,A
USGS,8263500,1/12/1950,340,A
USGS,8263500,1/13/1950,330,A
USGS,8263500,1/14/1950,320,A
USGS,8263500,1/15/1950,320,A
USGS,8263500,1/16/1950,340,A
USGS,8263500,1/17/1950,350,A
USGS,8263500,1/18/1950,350,A
USGS,8263500,1/19/1950,360,A
USGS,8263500,1/20/1950,370,A
USGS,8263500,1/21/1950,380,A
USGS,8263500,1/22/1950,390,A
USGS,8263500,1/23/1950,400,A
USGS,8263500,1/24/1950,410,A
USGS,8263500,1/25/1950,420,A
USGS,8263500,1/26/1950,420,A
USGS,8263500,1/27/1950,430,A
USGS,8263500,1/28/1950,410,A
USGS,8263500,1/29/1950,400,A
USGS,8263500,1/30/1950,420,A
USGS,8263500,1/31/1950,430,A
USGS,8263500,2/1/1950,410,A
USGS,8263500,2/2/1950,420,A
USGS,8263500,2/3/1950,430,A
USGS,8263500,2/4/1950,430,A
USGS,8263500,2/5/1950,430,A
USGS,8263500,2/6/1950,460,A
USGS,8263500,2/7/1950,498,A
USGS,8263500,2/8/1950,535,A
USGS,8263500,2/9/1950,535,A
USGS,8263500,2/10/1950,498,A
USGS,8263500,2/11/1950,498,A
USGS,8263500,2/12/1950,535,A
USGS,8263500,2/13/1950,460,A
USGS,8263500,2/14/1950,440,A
USGS,8263500,2/15/1950,450,A
USGS,8263500,2/16/1950,522,A
USGS,8263500,2/17/1950,535,A
USGS,8263500,2/18/1950,548,A
USGS,8263500,2/19/1950,560,A
USGS,8263500,2/20/1950,572,A
USGS,8263500,2/21/1950,585,A
USGS,8263500,2/22/1950,548,A
USGS,8263500,2/23/1950,510,A
USGS,8263500,2/24/1950,535,A
USGS,8263500,2/25/1950,485,A
USGS,8263500,2/26/1950,535,A
USGS,8263500,2/27/1950,535,A
USGS,8263500,2/28/1950,548,A
USGS,8263500,3/1/1950,585,A
USGS,8263500,3/2/1950,572,A
USGS,8263500,3/3/1950,548,A
USGS,8263500,3/4/1950,535,A
USGS,8263500,3/5/1950,510,A
USGS,8263500,3/6/1950,485,A
USGS,8263500,3/7/1950,450,A
USGS,8263500,3/8/1950,410,A
USGS,8263500,3/9/1950,380,A
USGS,8263500,3/10/1950,370,A
USGS,8263500,3/11/1950,360,A
USGS,8263500,3/12/1950,330,A
USGS,8263500,3/13/1950,320,A
USGS,8263500,3/14/1950,310,A
USGS,8263500,3/15/1950,301,A
USGS,8263500,3/16/1950,292,A
USGS,8263500,3/17/1950,283,A
USGS,8263500,3/18/1950,274,A
USGS,8263500,3/19/1950,263,A
USGS,8263500,3/20/1950,246,A
USGS,8263500,3/21/1950,241,A
USGS,8263500,3/22/1950,222,A
USGS,8263500,3/23/1950,205,A
USGS,8263500,3/24/1950,202,A
USGS,8263500,3/25/1950,169,A
USGS,8263500,3/26/1950,87,A
USGS,8263500,3/27/1950,69,A
USGS,8263500,3/28/1950,62,A
USGS,8263500,3/29/1950,59,A
USGS,8263500,3/30/1950,316,A
USGS,8263500,3/31/1950,515,A
USGS,8263500,4/1/1950,177,A
USGS,8263500,4/2/1950,166,A
USGS,8263500,4/3/1950,163,A
USGS,8263500,4/4/1950,158,A
USGS,8263500,4/5/1950,159,A
USGS,8263500,4/6/1950,165,A
USGS,8263500,4/7/1950,166,A
USGS,8263500,4/8/1950,158,A
USGS,8263500,4/9/1950,150,A
USGS,8263500,4/10/1950,139,A
USGS,8263500,4/11/1950,152,A
USGS,8263500,4/12/1950,160,A
USGS,8263500,4/13/1950,147,A
USGS,8263500,4/14/1950,140,A
USGS,8263500,4/15/1950,134,A
USGS,8263500,4/16/1950,134,A
USGS,8263500,4/17/1950,140,A
USGS,8263500,4/18/1950,160,A
USGS,8263500,4/19/1950,176,A
USGS,8263500,4/20/1950,163,A
USGS,8263500,4/21/1950,167,A
USGS,8263500,4/22/1950,180,A
USGS,8263500,4/23/1950,261,A
USGS,8263500,4/24/1950,498,A
USGS,8263500,4/25/1950,610,A
USGS,8263500,4/26/1950,560,A
USGS,8263500,4/27/1950,440,A
USGS,8263500,4/28/1950,330,A
USGS,8263500,4/29/1950,330,A
USGS,8263500,4/30/1950,340,A
USGS,8263500,5/1/1950,340,A
USGS,8263500,5/2/1950,301,A
USGS,8263500,5/3/1950,301,A
USGS,8263500,5/4/1950,292,A
USGS,8263500,5/5/1950,301,A
USGS,8263500,5/6/1950,274,A
USGS,8263500,5/7/1950,246,A
USGS,8263500,5/8/1950,233,A
USGS,8263500,5/9/1950,217,A
USGS,8263500,5/10/1950,208,A
USGS,8263500,5/11/1950,198,A
USGS,8263500,5/12/1950,181,A
USGS,8263500,5/13/1950,167,A
USGS,8263500,5/14/1950,165,A
USGS,8263500,5/15/1950,163,A
USGS,8263500,5/16/1950,162,A
USGS,8263500,5/17/1950,162,A
USGS,8263500,5/18/1950,162,A
USGS,8263500,5/19/1950,188,A
USGS,8263500,5/20/1950,243,A
USGS,8263500,5/21/1950,283,A
USGS,8263500,5/22/1950,261,A
USGS,8263500,5/23/1950,228,A
USGS,8263500,5/24/1950,233,A
USGS,8263500,5/25/1950,310,A
USGS,8263500,5/26/1950,340,A
USGS,8263500,5/27/1950,370,A
USGS,8263500,5/28/1950,390,A
USGS,8263500,5/29/1950,410,A
USGS,8263500,5/30/1950,390,A
USGS,8263500,5/31/1950,330,A
USGS,8263500,6/1/1950,283,A
USGS,8263500,6/2/1950,292,A
USGS,8263500,6/3/1950,350,A
USGS,8263500,6/4/1950,498,A
USGS,8263500,6/5/1950,850,A
USGS,8263500,6/6/1950,1090,A
USGS,8263500,6/7/1950,940,A
USGS,8263500,6/8/1950,850,A
USGS,8263500,6/9/1950,820,A
USGS,8263500,6/10/1950,735,A
USGS,8263500,6/11/1950,635,A
USGS,8263500,6/12/1950,560,A
USGS,8263500,6/13/1950,522,A
USGS,8263500,6/14/1950,420,A
USGS,8263500,6/15/1950,340,A
USGS,8263500,6/16/1950,283,A
USGS,8263500,6/17/1950,225,A
USGS,8263500,6/18/1950,183,A
USGS,8263500,6/19/1950,159,A
USGS,8263500,6/20/1950,150,A
USGS,8263500,6/21/1950,145,A
USGS,8263500,6/22/1950,145,A
USGS,8263500,6/23/1950,144,A
USGS,8263500,6/24/1950,142,A
USGS,8263500,6/25/1950,141,A
USGS,8263500,6/26/1950,146,A
USGS,8263500,6/27/1950,145,A
USGS,8263500,6/28/1950,144,A
USGS,8263500,6/29/1950,145,A
USGS,8263500,6/30/1950,166,A
USGS,8263500,7/1/1950,147,A
USGS,8263500,7/2/1950,129,A
USGS,8263500,7/3/1950,123,A
USGS,8263500,7/4/1950,121,A
USGS,8263500,7/5/1950,114,A
USGS,8263500,7/6/1950,115,A
USGS,8263500,7/7/1950,110,A
USGS,8263500,7/8/1950,107,A
USGS,8263500,7/9/1950,106,A
USGS,8263500,7/10/1950,100,A
USGS,8263500,7/11/1950,99,A
USGS,8263500,7/12/1950,99,A
USGS,8263500,7/13/1950,103,A
USGS,8263500,7/14/1950,104,A
USGS,8263500,7/15/1950,95,A
USGS,8263500,7/16/1950,90,A
USGS,8263500,7/17/1950,80,A
USGS,8263500,7/18/1950,68,A
USGS,8263500,7/19/1950,62,A
USGS,8263500,7/20/1950,58,A
USGS,8263500,7/21/1950,57,A
USGS,8263500,7/22/1950,58,A
USGS,8263500,7/23/1950,55,A
USGS,8263500,7/24/1950,55,A
USGS,8263500,7/25/1950,55,A
